sy_end,Region Code,TEA Region,County Number,County Name,district_id,district_name,demo_cat_type,enrolled_8th,graduated,total_enrolled,total_degrees,has_any_masked,gender,economic_status,ethnicity,graduated_percent,total_enrolled_percent,total_degrees_percent
2013,17.0,LUBBOCK,,,,,gender,2622,2112,1190,509,,Male,,,80.54919908466819%,45.385202135774215%,19.41266209000763%
2013,17.0,LUBBOCK,,,,,ethnicity,119,100,78,51,,,,Others,84.03361344537815%,65.54621848739495%,42.857142857142854%
2013,18.0,MIDLAND,,,,,econ_status,2880,2319,1583,725,,,Not Economically Disadvantaged,,80.52083333333333%,54.96527777777778%,25.17361111111111%
2013,18.0,MIDLAND,,,,,ethnicity,256,178,106,23,,,,African American,69.53125%,41.40625%,8.984375%
2013,18.0,MIDLAND,,,,,ethnicity,3652,2781,1593,599,,,,Hispanic,76.1500547645126%,43.61993428258488%,16.40197152245345%
2013,18.0,MIDLAND,,,,,ethnicity,108,79,52,30,,,,Others,73.14814814814815%,48.148148148148145%,27.77777777777778%
2013,18.0,MIDLAND,,,,,ethnicity,1504,1111,772,392,,,,White,73.86968085106383%,51.329787234042556%,26.063829787234045%
2013,18.0,MIDLAND,,,,,gender,2748,2166,1452,656,,Female,,,78.82096069868996%,52.838427947598255%,23.871906841339154%
2013,18.0,MIDLAND,,,,,gender,2831,2022,1099,405,,Male,,,71.42352525609326%,38.82020487460262%,14.305898975626988%
2013,18.0,MIDLAND,,,,,econ_status,2636,1822,940,329,,,Economically Disadvantaged,,69.11987860394537%,35.66009104704097%,12.48103186646434%
2013,18.0,MIDLAND,,,,,total,5579,4188,2551,1061,,,,,75.0672163470156%,45.72504032980821%,19.017745115612115%
2013,19.0,EL PASO,,,,,total,13227,10670,7398,2979,,,,,80.66832993120133%,55.93105012474484%,22.522113858017693%
2013,19.0,EL PASO,,,,,gender,6558,5449,3998,1833,,Female,,,83.08935651113144%,60.96370844769747%,27.950594693504115%
2013,19.0,EL PASO,,,,,ethnicity,699,438,296,149,,,,White,62.66094420600859%,42.34620886981402%,21.316165951359086%
2013,19.0,EL PASO,,,,,ethnicity,286,187,129,52,,,,African American,65.38461538461539%,45.10489510489511%,18.181818181818183%
2013,19.0,EL PASO,,,,,ethnicity,12056,9930,6893,2739,,,,Hispanic,82.36562707365627%,57.1748506967485%,22.71897810218978%
2013,19.0,EL PASO,,,,,econ_status,3424,2816,2143,1098,,,Not Economically Disadvantaged,,82.2429906542056%,62.5876168224299%,32.06775700934579%
2013,19.0,EL PASO,,,,,econ_status,9836,7879,5267,1882,,,Economically Disadvantaged,,80.10370069133795%,53.548190321268805%,19.133794225294835%
2013,19.0,EL PASO,,,,,ethnicity,104,71,43,26,,,,Others,68.26923076923077%,41.34615384615385%,25.0%
2013,19.0,EL PASO,,,,,gender,6669,5221,3400,1146,,Male,,,78.28759934023091%,50.98215624531414%,17.183985605038238%
2013,20.0,SAN ANTONIO,,,,,ethnicity,6015,4946,3581,2182,,,,White,82.22776392352452%,59.53449709060682%,36.27597672485453%
2013,20.0,SAN ANTONIO,,,,,ethnicity,949,768,575,368,,,,Others,80.927291886196%,60.59009483667018%,38.77766069546891%
2013,20.0,SAN ANTONIO,,,,,ethnicity,1760,1340,843,332,,,,African American,76.13636363636364%,47.89772727272727%,18.863636363636363%
2013,20.0,SAN ANTONIO,,,,,ethnicity,21736,17077,10564,4639,,,,Hispanic,78.56551343393448%,48.6013986013986%,21.342473316157527%
2013,20.0,SAN ANTONIO,,,,,econ_status,11864,10152,7753,4543,,,Not Economically Disadvantaged,,85.56979096426163%,65.34895482130815%,38.29231287929872%
2013,20.0,SAN ANTONIO,,,,,econ_status,19023,14290,8009,3073,,,Economically Disadvantaged,,75.11959207275403%,42.10166640382695%,16.154129212006517%
2013,20.0,SAN ANTONIO,,,,,gender,15739,12095,7000,3011,,Male,,,76.8473219391321%,44.475506703094226%,19.130821526145244%
2013,20.0,SAN ANTONIO,,,,,gender,15057,12286,8750,4611,,Female,,,81.59659958823138%,58.11250581125058%,30.623630205220167%
2013,20.0,SAN ANTONIO,,,,,total,30796,24381,15750,7622,,,,,79.16937264579815%,51.14300558514093%,24.749967528250423%
