DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"018901","CLIFTON ISD","018","BOSQUE","12","REGION 12: WACO","B","B","B","C","B","B",80,74,81,83,90,631,1024,198,0,0,0,775,8.8,19.3,0,0,0,75.7,81,82
"018902","MERIDIAN ISD","018","BOSQUE","12","REGION 12: WACO","D","D","D","F","D","F",67,56,64,56,23,241,344,66,0,0,0,258,6.7,19.2,0,0,0,75,64,64
"018903","MORGAN ISD","018","BOSQUE","12","REGION 12: WACO","D","D","D","F","D","D",65,54,61,62,24,125,148,28,0,0,0,111,16.2,18.9,0,0,0,75,61,64
"018904","VALLEY MILLS ISD","018","BOSQUE","12","REGION 12: WACO","B","C","C","C","C","B",79,79,74,83,57,359,680,120,0,0,0,495,8.4,17.6,0,0,0,72.8,79,80
"018905","WALNUT SPRINGS ISD","018","BOSQUE","12","REGION 12: WACO","D","D","F","F","F","F",64,58,58,49,47,158,174,26,0,0,0,117,27,14.9,0,0,0,67.2,58,60
"018906","IREDELL ISD","018","BOSQUE","12","REGION 12: WACO","C","C","C","D","C","B",77,64,76,82,0,91,135,31,0,0,0,101,0,23,0,0,0,74.8,76,79
"018907","KOPPERL ISD","018","BOSQUE","12","REGION 12: WACO","D","D","D","D","F","F",64,62,59,54,3,128,176,34,0,0,0,129,1.7,19.3,0,0,0,73.3,62,61
"018908","CRANFILLS GAP ISD","018","BOSQUE","12","REGION 12: WACO","B","B","B","C","B","A",89,74,89,90,8,89,128,23,0,0,0,107,6.3,18,0,0,0,83.6,89,89
"019901","DEKALB ISD","019","BOWIE","08","REGION 08: MT PLEASANT","C","C","C","D","C","C",78,63,78,77,50,589,901,127,0,0,0,646,5.5,14.1,0,0,0,71.7,78,78
"019902","HOOKS ISD","019","BOWIE","08","REGION 08: MT PLEASANT","B","B","B","D","B","C",81,65,82,77,28,525,889,122,0,0,0,686,3.1,13.7,0,0,0,77.2,82,81
"019903","MAUD ISD","019","BOWIE","08","REGION 08: MT PLEASANT","B","B","B","D","B","A",87,69,88,92,0,271,456,58,0,0,0,342,0,12.7,0,0,0,75,88,89
"019905","NEW BOSTON ISD","019","BOWIE","08","REGION 08: MT PLEASANT","B","C","B","D","B","B",75,67,82,80,40,910,1142,205,0,0,0,820,3.5,18,0,0,0,71.8,82,81
"019906","REDWATER ISD","019","BOWIE","08","REGION 08: MT PLEASANT","B","B","B","C","B","B",84,77,86,86,8,593,1105,123,0,0,0,847,0.7,11.1,0,0,0,76.7,86,86
"019907","TEXARKANA ISD","019","BOWIE","08","REGION 08: MT PLEASANT","D","D","C","D","C","D",69,64,74,64,785,5474,7271,949,1725,0,0,5092,10.8,13.1,0,0,23.7,70,74,69
"019908","LIBERTY-EYLAU ISD","019","BOWIE","08","REGION 08: MT PLEASANT","D","F","D","D","D","D",59,65,64,65,71,1762,1984,318,0,0,0,1416,3.6,16,0,0,0,71.4,65,65
"019909","SIMMS ISD","019","BOWIE","08","REGION 08: MT PLEASANT","B","B","C","D","C","B",81,69,79,80,6,264,505,56,0,0,0,386,1.2,11.1,0,0,0,76.4,79,81
"019910","MALTA ISD","019","BOWIE","08","REGION 08: MT PLEASANT","A","B","A","A","B","A",83,92,83,90,0,105,202,24,0,0,0,79,0,11.9,0,0,0,39.1,92,91
"019911","RED LICK ISD","019","BOWIE","08","REGION 08: MT PLEASANT","B","A","C","C","D","C",91,75,64,76,3,51,519,38,0,0,0,342,0.6,7.3,0,0,0,65.9,75,87
"019912","PLEASANT GROVE ISD","019","BOWIE","08","REGION 08: MT PLEASANT","B","B","B","C","B","B",89,75,86,87,116,885,2271,234,0,0,0,1764,5.1,10.3,0,0,0,77.7,86,88
"019913","HUBBARD ISD","019","BOWIE","08","REGION 08: MT PLEASANT","C","C","C","C","C","D",72,71,75,65,9,47,67,7,0,0,0,27,13.4,10.4,0,0,0,40.3,75,72
"019914","LEARY ISD","019","BOWIE","08","REGION 08: MT PLEASANT","F","F","F","F","F","D",54,53,56,64,0,115,120,13,0,0,0,47,0,10.8,0,0,0,39.2,56,58
"020901","ALVIN ISD","020","BRAZORIA","04","REGION 04: HOUSTON","B","B","B","C","B","B",81,74,81,81,5336,16092,29628,4235,0,0,0,22644,18,14.3,0,0,0,76.4,81,81
"020902","ANGLETON ISD","020","BRAZORIA","04","REGION 04: HOUSTON","B","B","B","C","B","B",81,75,86,82,1169,5126,7009,1144,99,0,0,5340,16.7,16.3,0,0,1.4,76.2,86,85
"020904","DANBURY ISD","020","BRAZORIA","04","REGION 04: HOUSTON","B","B","C","C","C","C",84,73,76,77,43,259,655,94,0,0,0,509,6.6,14.4,0,0,0,77.7,76,82
"020905","BRAZOSPORT ISD","020","BRAZORIA","04","REGION 04: HOUSTON","C","C","C","D","C","C",75,67,79,75,1618,7638,11331,1927,0,0,0,8389,14.3,17,0,0,0,74,79,78
"020906","SWEENY ISD","020","BRAZORIA","04","REGION 04: HOUSTON","C","C","D","D","D","C",73,65,68,76,77,1096,1933,237,0,0,0,1475,4,12.3,0,0,0,76.3,68,74
