CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
008903102,8903.0,BRAZOS EL,8.0,BRAZOS ISD,6.0,AUSTIN,E,PK - 05,N,N, , ,Brazos Elementary School,D,D,D,D
008903103,8903.0,PRAIRIE HARBOR ALTERNATIVE SCHOOL,8.0,BRAZOS ISD,6.0,AUSTIN,B,06 - 12,N,Y, , ,Prairie Harbor Alternative School,Not Rated,Not Rated,Not Rated,Not Rated
009901001,9901.0,MULESHOE H S,9.0,MULESHOE ISD,17.0,BAILEY,S,09 - 12,N,N, , ,Muleshoe High School,B,A,C,B
009901002,9901.0,P E P,9.0,MULESHOE ISD,17.0,BAILEY,S,09 - 12,N,Y, , ,P E P,Not Rated,Not Rated,Not Rated,Not Rated
009901041,9901.0,WATSON J H,9.0,MULESHOE ISD,17.0,BAILEY,M,06 - 08,N,N, , ,Watson Junior High,D,C,C,C
009901101,9901.0,MARY DESHAZO EL,9.0,MULESHOE ISD,17.0,BAILEY,E,03 - 05,N,N, , ,Mary Deshazo Elementary School,F,D,F,F
009901103,9901.0,DILLMAN EL,9.0,MULESHOE ISD,17.0,BAILEY,E,EE - 02,N,N,009901101,MARY DESHAZO EL,Dillman Elementary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,F
010901001,10901.0,MEDINA SCHOOL,10.0,MEDINA ISD,20.0,BANDERA,B,PK - 12,N,N, , ,Medina School,B,B,C,B
010902001,10902.0,BANDERA H S,10.0,BANDERA ISD,20.0,BANDERA,S,09 - 12,N,N, , ,Bandera High School,B,B,C,B
010902041,10902.0,BANDERA MIDDLE,10.0,BANDERA ISD,20.0,BANDERA,M,06 - 08,N,N, , ,Bandera Middle School,C,D,F,D
010902101,10902.0,ALKEK EL,10.0,BANDERA ISD,20.0,BANDERA,E,EE - 05,N,N, , ,Alkek Elementary School,C,C,C,C
010902102,10902.0,HILL COUNTRY EL,10.0,BANDERA ISD,20.0,BANDERA,E,EE - 05,N,N, , ,Hill Country Elementary School,C,B,C,C
011901001,11901.0,BASTROP H S,11.0,BASTROP ISD,13.0,BASTROP,S,09 - 12,N,N, , ,Bastrop High School,B,B,C,B
011901002,11901.0,CEDAR CREEK H S,11.0,BASTROP ISD,13.0,BASTROP,S,09 - 12,N,N, , ,Cedar Creek High School,B,B,C,B
011901005,11901.0,COLORADO RIVER COLLEGIATE ACADEMY,11.0,BASTROP ISD,13.0,BASTROP,S,09 - 12,N,N, , ,Colorado River Collegiate Academy,A,A,A,A
011901022,11901.0,GENESIS H S,11.0,BASTROP ISD,13.0,BASTROP,S,09 - 12,N,Y, , ,Genesis High School,C,Not Rated,D,C
011901041,11901.0,BASTROP MIDDLE,11.0,BASTROP ISD,13.0,BASTROP,M,07 - 08,N,N, , ,Bastrop Middle School,C,C,C,C
011901101,11901.0,EMILE EL,11.0,BASTROP ISD,13.0,BASTROP,E,PK - 04,N,N, , ,Emile Elementary School,D,D,F,D
011901102,11901.0,MINA EL,11.0,BASTROP ISD,13.0,BASTROP,E,EE - 04,N,N, , ,Mina Elementary School,B,B,C,B
011901103,11901.0,CEDAR CREEK EL,11.0,BASTROP ISD,13.0,BASTROP,E,EE - 04,N,N, , ,Cedar Creek Elementary School,D,C,D,C
011901104,11901.0,BASTROP INT,11.0,BASTROP ISD,13.0,BASTROP,M,05 - 06,N,N, , ,Bastrop Intermediate School,C,C,D,C
011901106,11901.0,CEDAR CREEK MIDDLE,11.0,BASTROP ISD,13.0,BASTROP,M,07 - 08,N,N, , ,Cedar Creek Middle School,D,C,D,C
011901107,11901.0,RED ROCK EL,11.0,BASTROP ISD,13.0,BASTROP,E,PK - 04,N,N, , ,Red Rock Elementary School,F,F,F,F
011901108,11901.0,CEDAR CREEK INT,11.0,BASTROP ISD,13.0,BASTROP,M,05 - 06,N,N, , ,Cedar Creek Intermediate School,C,C,F,D
011901109,11901.0,BLUEBONNET EL,11.0,BASTROP ISD,13.0,BASTROP,E,PK - 04,N,N, , ,Bluebonnet Elementary School,D,D,D,D
011901110,11901.0,LOST PINES EL,11.0,BASTROP ISD,13.0,BASTROP,E,PK - 04,N,N, , ,Lost Pines Elementary School,F,D,F,F
011902001,11902.0,ELGIN H S,11.0,ELGIN ISD,13.0,BASTROP,S,09 - 12,N,N, , ,Elgin High School,B,B,C,B
011902003,11902.0,BASTROP COUNTY JUVENILE BOOT CAMP,11.0,ELGIN ISD,13.0,BASTROP,S,07 - 10,N,N, , ,Bastrop County Juvenile Boot Camp,Not Rated,Not Rated,Not Rated,Not Rated
011902004,11902.0,PHOENIX H S,11.0,ELGIN ISD,13.0,BASTROP,S,09 - 12,N,Y, , ,Phoenix High School,B,Not Rated,F,C
011902041,11902.0,ELGIN MIDDLE,11.0,ELGIN ISD,13.0,BASTROP,M,06 - 08,N,N, , ,Elgin Middle School,D,D,F,D
011902101,11902.0,BOOKER T WASHINGTON EL,11.0,ELGIN ISD,13.0,BASTROP,E,KG - 05,N,N, , ,Booker T Washington Elementary School,F,D,D,D
011902102,11902.0,ELGIN EL,11.0,ELGIN ISD,13.0,BASTROP,E,EE - 05,N,N, , ,Elgin Elementary School,F,C,C,C
